"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Audiobook in LYRASIS","Check of switching to the next time","3","0","0","0","0"
"","Audiobook in LYRASIS","Check time tracking line","3","0","0","0","0"
"","Audiobooks from Audible studios in LYRASIS","Playback speed: Check of playback speed","0","4","0","0","0"
"","Read EPUB in Lyrasis","Font settings: Check of text theme","0","3","0","0","0"
"","Audiobook in LYRASIS","Check end of chapter sleep timer","3","0","0","0","0"
"","Distributors","LYRASIS: Getting and returning books from Book Detail View","4","1","2","0","0"
"","Audiobooks from Audible studios in LYRASIS","Check time tracking line","0","1","0","0","0"
"","Audiobook in LYRASIS","Check playback speed and sleep timer","3","0","0","0","0"
"","Read EPUB in Lyrasis","Font settings: Check of increasing and reducing the text size","0","3","0","0","0"
"","Distributors","LYRASIS: Biblioboard audiobooks: Getting and returning books from Book Detail View","1","0","0","0","0"
"","Distributors","LYRASIS: Check of canceling the downloading from book details view","6","1","0","0","0"
"","Read EPUB in Lyrasis","Open book to last page read","2","1","0","0","0"
"","Audiobooks from Audible studios in LYRASIS","Check of switching to the next time","0","1","0","0","0"
"","Audiobook in LYRASIS","Biblioboard: Check playback speed and sleep timer","1","0","0","0","0"
"","Manage Libraries","Store library card","0","0","1","0","0"
"","Audiobooks from Audible studios in LYRASIS","Open the audiobook at the last open chapter and check time code","0","1","0","0","0"
"","Read EPUB in Lyrasis","Font settings: Check of font style","0","3","0","0","0"
"","Audiobooks from Audible studios in LYRASIS","Check of not rewinding forward and back by tapping on time bar","0","1","0","0","0"
"","Audiobook in LYRASIS","Biblioboard: Check of switching to the next time","1","0","0","0","0"
"","Distributors","LYRASIS: Reserving from Book Detail View","2","1","4","0","0"
"","Manage Libraries","Switch Library Reservations","1","0","0","0","0"
"","Audiobooks from Audible studios in LYRASIS","Check end of chapter sleep timer","0","1","0","0","0"
"","Audiobook in LYRASIS","Biblioboard: Check end of chapter sleep timer","1","0","0","0","0"
"","Audiobooks from Audible studios in LYRASIS","Check playback speed and sleep timer","0","1","0","0","0"
"","Distributors","LYRASIS: Biblioboard audiobooks: Check of canceling the downloading from book details view","1","0","0","0","0"
"","Read EPUB in Lyrasis","Navigate by Page","1","0","0","0","0"
"","My books module","Get a book from Book Detail View and Return from Books in LYRASIS","1","0","0","0","0"
"","Audiobooks from Audible studios in LYRASIS","Navigate by Audiobook","0","1","0","0","0"
